player_id,name,pos,dob,current_team,year,team,g,pa,hr,r,rbi,sb,avg,normal_hr,normal_r,normal_rbi,normal_sb,normal_avg,z_hr,z_r,z_rbi,z_sb,z_avg,value,cost,drafted
3188,Luis Cruz,3B/SS,30722,Yankees,2014,Steamer,0,1,0,0,0,0,0.241,0,0,0,0,0.241,-1.32,-1.95,-1.89,-0.86,2.06,0.00,0,0
4793,Travis Ishikawa,1B,30583,Orioles,2014,Steamer,0,1,0,0,0,0,0.24,0,0,0,0,0.24,-1.32,-1.95,-1.89,-0.86,2.05,0.00,0,0
4793,Travis Ishikawa,1B,30583,Yankees,2014,Steamer,0,1,0,0,0,0,0.24,0,0,0,0,0.24,-1.32,-1.95,-1.89,-0.86,2.05,0.00,0,0
4748,Matt Carson,OF,29768,Indians,2014,Steamer,0,1,0,0,0,0,0.239,0,0,0,0,0.239,-1.32,-1.95,-1.89,-0.86,2.04,0.00,0,0
3469,Luke Scott,DH/OF,28666,Rays,2014,Steamer,0,1,0,0,0,0,0.238,0,0,0,0,0.238,-1.32,-1.95,-1.89,-0.86,2.03,0.00,0,0
5248,Alexi Casilla,2B,30883,Orioles,2014,Steamer,0,1,0,0,0,0,0.238,0,0,0,0,0.238,-1.32,-1.95,-1.89,-0.86,2.03,0.00,0,0
1554,DeWayne Wise,OF,28545,White Sox,2014,Steamer,0,1,0,0,0,0,0.238,0,0,0,0,0.238,-1.32,-1.95,-1.89,-0.86,2.03,0.00,0,0
395,John McDonald,SS,27296,Red Sox,2014,Steamer,0,1,0,0,0,0,0.237,0,0,0,0,0.237,-1.32,-1.95,-1.89,-0.86,2.02,0.00,0,0
395,John McDonald,SS,27296,Indians,2014,Steamer,0,1,0,0,0,0,0.237,0,0,0,0,0.237,-1.32,-1.95,-1.89,-0.86,2.02,0.00,0,0
6444,Andy LaRoche,3B,30572,Blue Jays,2014,Steamer,0,1,0,0,0,0,0.236,0,0,0,0,0.236,-1.32,-1.95,-1.89,-0.86,2.01,0.00,0,0
